symbol,minute_str,minute_int,updated_at_ms,spot_price,strike,straddle_price,open,high,low,close,ce_close,pe_close,ce_volume,pe_volume,volume,source,version,fo_segment,expiry_rank,spot_pubsub_token,atm_strike,selected_from_atm,ce_instrument_key,pe_instrument_key,ce_exchange_token,pe_exchange_token,ce_pubsub_token,pe_pubsub_token,ce_carry_forward,pe_carry_forward,carry_forward,ce_open,ce_high,ce_low,pe_open,pe_high,pe_low
NIFTY,09:23:00,92300,1774587015345,23098.85,23100.0,504.35,505.35,511.09999999999997,500.0,504.35,256.1,248.25,3705.0,3640.0,7345.0,startup_backfill,278,NSE_FO,1,NSE_INDEX:Nifty_50,23100.0,False,NSE_FO|54500,NSE_FO|54501,54500,54501,NSE_FO:54500,NSE_FO:54501,False,False,False,254.95,257.9,251.85,250.4,253.2,248.15
NIFTY,09:24:00,92400,1774587015346,23075.1,23100.0,503.0,504.85,519.7,487.65,503.0,242.1,260.9,7735.0,7670.0,15405.0,startup_backfill,279,NSE_FO,1,NSE_INDEX:Nifty_50,23100.0,False,NSE_FO|54500,NSE_FO|54501,54500,54501,NSE_FO:54500,NSE_FO:54501,False,False,False,255.3,257.2,240.65,249.55,262.5,247.0
NIFTY,09:25:00,92500,1774587015346,23078.1,23100.0,503.5,503.6,511.75,494.84999999999997,503.5,246.35,257.15,8840.0,8385.0,17225.0,startup_backfill,280,NSE_FO,1,NSE_INDEX:Nifty_50,23100.0,False,NSE_FO|54500,NSE_FO|54501,54500,54501,NSE_FO:54500,NSE_FO:54501,False,False,False,242.6,246.35,237.7,261.0,265.4,257.15
NIFTY,09:26:00,92600,1774587015347,23075.15,23100.0,505.2,504.25,514.5,495.20000000000005,505.2,244.7,260.5,8775.0,7995.0,16770.0,startup_backfill,281,NSE_FO,1,NSE_INDEX:Nifty_50,23100.0,False,NSE_FO|54500,NSE_FO|54501,54500,54501,NSE_FO:54500,NSE_FO:54501,False,False,False,246.65,250.5,241.4,257.6,264.0,253.8
NIFTY,09:27:00,92700,1774587015348,23072.35,23050.0,511.0,512.0,516.7,506.40000000000003,511.0,269.6,241.4,7150.0,8125.0,15275.0,startup_backfill,282,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,273.75,274.85,269.35,238.25,241.85,237.05
NIFTY,09:28:00,92800,1774587015349,23064.0,23050.0,510.25,510.6,518.3,503.0,510.25,268.45,241.8,6565.0,7020.0,13585.0,startup_backfill,283,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,269.0,272.85,265.3,241.6,245.45,237.7
NIFTY,09:29:00,92900,1774587015350,23056.8,23050.0,506.7,511.55,514.8,501.45000000000005,506.7,262.5,244.2,7540.0,8580.0,16120.0,startup_backfill,284,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,269.1,269.1,261.05,242.45,245.7,240.4
NIFTY,09:30:00,93000,1774587015350,23033.5,23050.0,505.75,505.95000000000005,519.85,491.95,505.75,249.65,256.1,8840.0,9425.0,18265.0,startup_backfill,285,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,261.35,261.35,247.35,244.6,258.5,244.6
NIFTY,09:31:00,93100,1774587015351,23046.2,23050.0,505.3,505.7,511.75,498.15,505.3,256.0,249.3,7605.0,8580.0,16185.0,startup_backfill,286,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,249.95,256.0,249.4,255.75,255.75,248.75
NIFTY,09:32:00,93200,1774587015352,23055.15,23050.0,507.20000000000005,504.5,511.75,495.65,507.20000000000005,259.8,247.4,7345.0,9165.0,16510.0,startup_backfill,287,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,256.2,262.65,255.5,248.3,249.1,240.15
NIFTY,09:33:00,93300,1774587015353,23035.45,23050.0,508.0,506.85,516.4,498.5,508.0,252.1,255.9,6890.0,7605.0,14495.0,startup_backfill,288,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,260.05,260.5,251.7,246.8,255.9,246.8
NIFTY,09:34:00,93400,1774587015353,23018.35,23000.0,512.6,515.1,524.25,503.15000000000003,512.6,270.0,242.6,8060.0,8580.0,16640.0,startup_backfill,289,NSE_FO,1,NSE_INDEX:Nifty_50,23000.0,False,NSE_FO|62922,NSE_FO|62923,62922,62923,NSE_FO:62922,NSE_FO:62923,False,False,False,280.5,281.05,269.6,234.6,243.2,233.55
NIFTY,09:35:00,93500,1774587015354,23014.45,23000.0,515.0,512.55,519.3,508.45000000000005,515.0,269.2,245.8,7410.0,7475.0,14885.0,startup_backfill,290,NSE_FO,1,NSE_INDEX:Nifty_50,23000.0,False,NSE_FO|62922,NSE_FO|62923,62922,62923,NSE_FO:62922,NSE_FO:62923,False,False,False,270.1,271.6,267.1,242.45,247.7,241.35
NIFTY,09:36:00,93600,1774587015355,23016.85,23000.0,511.90000000000003,515.65,518.0,506.15,511.90000000000003,268.1,243.8,7410.0,8710.0,16120.0,startup_backfill,291,NSE_FO,1,NSE_INDEX:Nifty_50,23000.0,False,NSE_FO|62922,NSE_FO|62923,62922,62923,NSE_FO:62922,NSE_FO:62923,False,False,False,269.9,270.3,264.55,245.75,247.7,241.6
NIFTY,09:37:00,93700,1774587015355,23007.65,23000.0,515.9000000000001,511.35,521.7,503.29999999999995,515.9000000000001,265.6,250.3,7735.0,9425.0,17160.0,startup_backfill,292,NSE_FO,1,NSE_INDEX:Nifty_50,23000.0,False,NSE_FO|62922,NSE_FO|62923,62922,62923,NSE_FO:62922,NSE_FO:62923,False,False,False,268.25,269.75,261.45,243.1,251.95,241.85
NIFTY,09:38:00,93800,1774587015356,23005.65,23000.0,513.45,515.6,520.35,507.6,513.45,262.85,250.6,8710.0,10010.0,18720.0,startup_backfill,293,NSE_FO,1,NSE_INDEX:Nifty_50,23000.0,False,NSE_FO|62922,NSE_FO|62923,62922,62923,NSE_FO:62922,NSE_FO:62923,False,False,False,264.8,266.75,260.55,250.8,253.6,247.05
NIFTY,09:39:00,93900,1774587015357,23024.15,23000.0,513.25,514.25,524.7,502.15,513.25,270.25,243.0,7215.0,7865.0,15080.0,startup_backfill,294,NSE_FO,1,NSE_INDEX:Nifty_50,23000.0,False,NSE_FO|62922,NSE_FO|62923,62922,62923,NSE_FO:62922,NSE_FO:62923,False,False,False,263.45,270.5,259.3,250.8,254.2,242.85
NIFTY,09:40:00,94000,1774587015358,23028.7,23050.0,507.79999999999995,506.54999999999995,515.05,498.79999999999995,507.79999999999995,245.1,262.7,7735.0,7215.0,14950.0,startup_backfill,295,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,243.4,248.85,242.65,263.15,266.2,256.15
NIFTY,09:41:00,94100,1774587015358,23032.3,23050.0,506.75,507.1,511.45000000000005,501.15,506.75,246.55,260.2,7670.0,7930.0,15600.0,startup_backfill,296,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,245.6,248.6,244.15,261.5,262.85,257.0
NIFTY,09:42:00,94200,1774587015359,23041.45,23050.0,503.7,507.15000000000003,513.9,497.4,503.7,249.95,253.75,7280.0,7150.0,14430.0,startup_backfill,297,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,246.3,250.5,244.0,260.85,263.4,253.4
NIFTY,09:43:00,94300,1774587015360,23054.15,23050.0,503.40000000000003,505.15,513.05,494.25,503.40000000000003,257.1,246.3,6955.0,7085.0,14040.0,startup_backfill,298,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,250.45,258.15,249.3,254.7,254.9,244.95
NIFTY,09:44:00,94400,1774587015360,23053.55,23050.0,502.5,504.45,509.2,497.3,502.5,255.15,247.35,9295.0,7865.0,17160.0,startup_backfill,299,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,257.5,258.4,252.8,246.95,250.8,244.5
NIFTY,09:45:00,94500,1774587015361,23037.15,23050.0,504.5,502.2,512.6,494.15,504.5,248.2,256.3,7735.0,9360.0,17095.0,startup_backfill,300,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,255.0,256.0,248.2,247.2,256.6,245.95
NIFTY,09:46:00,94600,1774587015362,23031.65,23050.0,507.95000000000005,505.04999999999995,512.2,501.05,507.95000000000005,249.4,258.55,7540.0,8060.0,15600.0,startup_backfill,301,NSE_FO,1,NSE_INDEX:Nifty_50,23050.0,False,NSE_FO|54498,NSE_FO|54499,54498,54499,NSE_FO:54498,NSE_FO:54499,False,False,False,248.1,251.25,246.65,256.95,260.95,254.4
